Quarter,US,UK,CRE,Corporate,FI
2009Q1,-1.7506860712521697,-1.7506860712521697,-2.746833023005746,-2.400817182066141,-1.9378722687753291
2009Q2,-1.2815515655446004,-1.4050715603096329,-1.501453649449041,-0.24734243474487716,0.693292336799703
2009Q3,-0.4958503473474533,-0.915365087842814,-1.8836892210159655,-1.259451431992776,-0.04174315665501904
2009Q4,0.8778962950512288,-0.5244005127080409,-0.49071252663623155,-0.05098399089666045,-1.5285770454079008
2010Q1,-0.2275449766411494,1.2265281200366105,0.7035590606169826,1.0747351127118348,0.5533474241874871
2010Q2,0.8416212335729143,1.5547735945968535,1.828596681341909,0.32784490921388965,0.41283483209907434
2010Q3,0.2533471031357997,0.1256613468550741,0.3180846409211743,0.35034268720226547,0.8545379156288162
2010Q4,-0.3318533464368166,-0.9541652531461942,-0.8328064787000176,0.28128020574046064,-1.1679367828433103
2011Q1,-1.2265281200366098,-0.6128129910166272,-1.262933766106293,-2.0563328513285484,-0.8303505378763993
2011Q2,0.1763741647808612,-0.8778962950512286,-1.2032735770527103,-0.22020521173035368,0.13581432605778854
2011Q3,-1.1030625561995973,-0.4676987991145082,-1.3233625648129737,-0.6016157915302841,0.08561548017246534
2011Q4,1.17498679206609,-0.7388468491852137,0.017936839289717788,0.7709022257609146,-0.8153337965157167
2012Q1,0.4399131656732339,1.0364333894937894,1.445184436295057,-0.1364829580719007,0.3147018366124345
2012Q2,-0.5533847195556729,-1.2265281200366098,-0.8861219957290639,-1.8236602451706545,-1.1036150726986067
2012Q3,-0.915365087842814,1.475791028179171,-0.5966575963002804,0.6492813905990102,-0.31457871070648524
2012Q4,-0.9541652531461942,-1.17498679206609,-1.1060021097431112,-0.8545761462544852,0.6041700438897948
2013Q1,1.0803193408149558,-0.3584587932511938,0.22934993888241484,0.5380554669001975,0.622700693172581
2013Q2,-0.7388468491852137,0.3584587932511938,-0.586426287520003,0.05478185029823934,-1.1919067674475812
2013Q3,0.4124631294414049,0.8064212470182404,1.054999294505357,0.12859209622717782,1.2444421020722434
2013Q4,0.7721932141886848,0.3318533464368166,1.2079816040454268,0.7162514445309431,2.191593455118634
2014Q1,-1.4050715603096329,0.7721932141886848,0.11306011155144524,-0.10920563981186313,0.5982413263582682
2014Q2,1.4050715603096329,1.2815515655446004,1.167901703045605,0.8381888310904457,-0.1782553204622077
2014Q3,1.3407550336902163,0.7388468491852137,1.0841413199641083,2.359102750433188,0.43253110716005344
2014Q4,-0.3584587932511938,0.3853204664075677,0.19140513548257124,0.34848130810434097,1.0554663665363693
2015Q1,0.6744897501960817,-0.643345405392917,0.5348965666992298,-0.8268066089216598,-0.5711014530328618
2015Q2,0.0,0.2275449766411493,-0.11702818761682085,0.5780259971980543,0.4570008668460852
2015Q3,-0.5828415072712162,-0.2275449766411494,-0.5844733865312602,-1.0943972604721521,0.3146250111329557
2015Q4,-0.7721932141886848,0.0501535834647336,-1.0186412200249826,0.1955330453118389,-1.0531823006735854
2016Q1,-0.0501535834647336,-0.2793190344474541,-0.8306566195404292,0.654514481612796,-0.1808749132539355
2016Q2,-0.8064212470182404,0.0752698620998299,-0.008742578976389415,-0.9458857249655968,-2.965278074761281
2016Q3,0.3584587932511938,-0.1509692154967772,0.8421485133945565,0.7849545826991161,-0.7617358582579566
2016Q4,-0.3853204664075677,0.2018934791418507,-0.14816036707564795,0.20016669894840833,-0.2816438280784852
2017Q1,-0.4124631294414047,0.9153650878428138,0.8327608710996997,0.8327352928761067,-0.8277875880615114
2017Q2,-0.1004337205114697,0.2533471031357997,0.2831078270541911,1.4176918718538285,1.407286199162209
2017Q3,0.5533847195556727,0.2793190344474541,0.15825696509384113,0.2428362761533425,-0.8462432905783646
2017Q4,1.0364333894937894,0.6128129910166272,1.1807804077236235,0.2916512372124893,0.29682857247969274
2018Q1,0.5244005127080407,-0.9944578832097531,0.5318180301374964,-0.8640103704023478,-0.08021150625972828
2018Q2,-0.4676987991145082,-0.6744897501960817,-0.7042704875754351,-1.1479592593160861,0.7316289815159578
2018Q3,0.2275449766411493,-0.4399131656732338,0.7005106873245095,-0.16070323608382994,-1.2689895382407181
2018Q4,-0.9944578832097531,-0.7063025628400874,-2.406695076390001,-0.6091493482168893,0.27886522358499566
2019Q1,-0.2018934791418508,0.5828415072712162,0.6634787425812231,0.3861239545628654,0.16081760954317575
2019Q2,0.7388468491852137,-0.4124631294414047,0.24189121082937953,0.7480987445491977,-0.6788192802481179
2019Q3,1.2265281200366105,0.4124631294414049,0.8251749317842053,0.8286893506541301,1.0366567866616778
2019Q4,0.1509692154967774,-1.0803193408149558,-0.5090548362262851,0.5631287399845799,-0.20759121999672878
2020Q1,-1.880793608151251,-2.053748910631823,-3.4124481235971524,-2.154411900861453,-2.0687685240740477
2020Q2,-2.3263478740408408,-2.3263478740408408,-2.907856885899035,-0.40289781037076167,-1.803518025372235
2020Q3,2.3263478740408408,2.3263478740408408,2.9805836597039788,2.7687614984124784,1.543340567463133
2020Q4,1.2815515655446004,1.644853626951472,2.537871136795527,0.8571006755607921,1.2641708779605496
2021Q1,1.5547735945968535,-1.5547735945968535,-0.27424282189664684,-0.7572353473008142,0.5460069418023484
2021Q2,1.644853626951472,2.0537489106318225,1.7913469205815797,2.1904607853455555,2.78730398642794
2021Q3,0.643345405392917,1.8807936081512504,1.2489785369465642,1.1040574559253409,-0.01107320392027522
2021Q4,1.8807936081512504,1.7506860712521692,2.6632730782543645,2.320614430844773,3.211536253096463
2022Q1,-1.17498679206609,0.5244005127080407,-0.2163930317356197,0.009336393769542484,-1.869967349325385
2022Q2,-1.0364333894937894,-0.3318533464368166,-1.1012947922916612,-0.7356411859714205,-0.6724798902174673
2022Q3,0.0501535834647336,-0.8064212470182404,-0.18216500131482027,-0.9769074120890922,0.18263173131944183
2022Q4,0.5828415072712162,-0.3853204664075677,0.16988123521069218,-0.9723982246051723,0.3107202464676848
2023Q1,0.025068908258711,-0.7721932141886848,0.0642841671737237,-0.6892959034727637,-0.8123409010203309
2023Q2,-0.025068908258711,-1.0364333894937894,-1.0083929573640917,0.07481424598986053,-0.596222923353858
2023Q3,0.9153650878428138,-1.2815515655446004,-0.39309439741052854,-0.03170610056680845,-0.5530135765060346
2023Q4,0.4958503473474532,-1.3407550336902163,-0.7144269438513621,-1.3033226811856764,-0.8239645035165981
2024Q1,-0.5244005127080409,0.9944578832097531,-0.49238489625560855,0.3574860922923916,0.8886227853534747
2024Q2,0.3054807880993974,-0.125661346855074,0.26458378700187646,0.36237025273745416,0.36633028822075125
2024Q3,0.2793190344474541,-1.126391129038801,-0.37010579102875496,-1.048517634035651,-0.9102167278892705
2024Q4,-0.125661346855074,-0.8416212335729142,-0.5776637613336203,-0.3749412253612909,0.3549160292695611
